timestamp_utc,day_of_week,hour_of_day,minute_bucket,is_weekend,is_sale_day,event_type,baseline_rps,demand_multiplier,actual_rps,avg_latency_ms,p95_latency_ms,error_rate,avg_payload_kb,avg_work_units,recommended_workers
2025-01-01T00:00:00+00:00,Wednesday,0,0,0,0,none,8.96,0.323,9.044,28.974,37.087,0.0,18.0,8.0,2
2025-01-01T00:15:00+00:00,Wednesday,0,15,0,0,none,8.96,0.3296,9.229,29.076,37.217,0.0,18.0,8.0,2
2025-01-01T00:30:00+00:00,Wednesday,0,30,0,0,none,8.96,0.3507,9.82,29.401,37.633,0.0,18.0,8.0,2
2025-01-01T00:45:00+00:00,Wednesday,0,45,0,0,none,8.96,0.3467,9.708,29.339,37.554,0.0,18.0,8.0,2
2025-01-01T01:00:00+00:00,Wednesday,1,0,0,0,none,8.96,0.3213,8.997,28.948,37.053,0.0,18.0,8.0,2
2025-01-01T01:15:00+00:00,Wednesday,1,15,0,0,none,8.96,0.3284,9.195,29.057,37.193,0.0,18.0,8.0,2
2025-01-01T01:30:00+00:00,Wednesday,1,30,0,0,none,8.96,0.3543,9.92,29.456,37.704,0.0,18.0,8.0,2
2025-01-01T01:45:00+00:00,Wednesday,1,45,0,0,none,8.96,0.3658,10.242,29.633,37.93,0.0,18.0,8.0,2
2025-01-01T02:00:00+00:00,Wednesday,2,0,0,0,none,8.96,0.311,8.709,28.79,36.851,0.0,18.0,8.0,2
2025-01-01T02:15:00+00:00,Wednesday,2,15,0,0,none,8.96,0.3502,9.806,29.393,37.623,0.0,18.0,8.0,2
2025-01-01T02:30:00+00:00,Wednesday,2,30,0,0,none,8.96,0.3465,9.702,29.336,37.55,0.0,18.0,8.0,2
2025-01-01T02:45:00+00:00,Wednesday,2,45,0,0,none,8.96,0.3465,9.702,29.336,37.55,0.0,18.0,8.0,2
2025-01-01T03:00:00+00:00,Wednesday,3,0,0,0,none,8.96,0.3122,8.741,28.808,36.874,0.0,18.0,8.0,2
2025-01-01T03:15:00+00:00,Wednesday,3,15,0,0,none,8.96,0.3147,8.811,28.846,36.923,0.0,18.0,8.0,2
2025-01-01T03:30:00+00:00,Wednesday,3,30,0,0,none,8.96,0.3282,9.19,29.055,37.19,0.0,18.0,8.0,2
2025-01-01T03:45:00+00:00,Wednesday,3,45,0,0,none,8.96,0.3397,9.512,29.232,37.417,0.0,18.0,8.0,2
2025-01-01T04:00:00+00:00,Wednesday,4,0,0,0,none,8.96,0.3259,9.124,29.018,37.143,0.0,18.0,8.0,2
2025-01-01T04:15:00+00:00,Wednesday,4,15,0,0,none,8.96,0.352,9.857,29.421,37.659,0.0,18.0,8.0,2
2025-01-01T04:30:00+00:00,Wednesday,4,30,0,0,none,8.96,0.3535,9.899,29.444,37.688,0.0,18.0,8.0,2
2025-01-01T04:45:00+00:00,Wednesday,4,45,0,0,none,8.96,0.3344,9.364,29.15,37.312,0.0,18.0,8.0,2
